id,label,weight
573,1,100
580,1,100
581,1,100
588,1,100
589,1,100
596,1,100
597,1,100
604,1,100
605,1,100
612,1,100
613,1,100
73,2,100
81,2,100
89,2,100
97,2,100
105,2,100
113,2,100
121,2,100
129,2,100
137,2,100
145,2,100
153,2,100
161,2,100
169,2,100
177,2,100
185,2,100
193,2,100
201,2,100
209,2,100
217,2,100
225,2,100
233,2,100
241,2,100
249,2,100
257,2,100
265,2,100
273,2,100
281,2,100
289,2,100
297,2,100
305,2,100
313,2,100
321,2,100
329,2,100
337,2,100
345,2,100
353,2,100
361,2,100
369,2,100
377,2,100
385,2,100
393,2,100
401,2,100
409,2,100
417,2,100
425,2,100
433,2,100
441,2,100
449,2,100
457,2,100
465,2,100
473,2,100
481,2,100
489,2,100
497,2,100
505,2,100
513,2,100
521,2,100
529,2,100
537,2,100
545,2,100
553,2,100
561,2,100
569,2,100
577,2,100
585,2,100
593,2,100
601,2,100
609,2,100
2,3,100
3,3,100
4,3,100
5,3,100
6,3,100
7,3,100
8,3,100
11,3,100
12,3,100
13,3,100
14,3,100
15,3,100
16,3,100
20,3,100
21,3,100
22,3,100
23,3,100
24,3,100
28,3,100
29,3,100
30,3,100
31,3,100
32,3,100
36,3,100
37,3,100
38,3,100
39,3,100
40,3,100
44,3,100
45,3,100
46,3,100
47,3,100
48,3,100
54,3,100
55,3,100
56,3,100
62,3,100
63,3,100
64,3,100
70,3,100
71,3,100
72,3,100
78,3,100
79,3,100
80,3,100
86,3,100
87,3,100
88,3,100
96,3,100
104,3,100
112,3,100
120,3,100
128,3,100
136,3,100
144,3,100
152,3,100
160,3,100
168,3,100
176,3,100
184,3,100
192,3,100
200,3,100
208,3,100
216,3,100
224,3,100
232,3,100
240,3,100
248,3,100
256,3,100
264,3,100
272,3,100
280,3,100
288,3,100
296,3,100
304,3,100
312,3,100
320,3,100
328,3,100
336,3,100
344,3,100
352,3,100
360,3,100
368,3,100
376,3,100
384,3,100
392,3,100
400,3,100
408,3,100
416,3,100
424,3,100
432,3,100
440,3,100
448,3,100
456,3,100
464,3,100
472,3,100
480,3,100
488,3,100
496,3,100
504,3,100
512,3,100
520,3,100
528,3,100
536,3,100
544,3,100
552,3,100
560,3,100
568,3,100
576,3,100
584,3,100
592,3,100
600,3,100
608,3,100
616,3,100
25,4,100
33,4,100
41,4,100
49,4,100
57,4,100
65,4,100
91,4,100
98,4,100
99,4,100
106,4,100
