size,mean
1.15736,3.566
1.69799,2.122
1.91084,2.089
3.66846,2.057
1.28509,1.935
0.97206,2.605
0.97206,2.63
0.97206,2.636
1.15035,3.308
1.15643,3.469
1.10559,3.624
1.14441,3.653
1.08734,3.709
4.11599,14.372
1.17557,3.606
1.7443,2.096
2.20012,2.065
3.83618,2.028
1.31789,1.963
0.98016,2.648
0.98016,2.622
0.98016,2.651
1.18154,3.35
1.18083,3.511
1.12756,3.669
1.16845,3.732
1.105,3.815
4.13559,14.812
1.19792,3.688
1.79679,2.109
2.38936,2.114
3.89119,2.066
1.35029,1.931
0.99485,2.655
0.99485,2.665
0.99485,2.66
1.21116,3.389
1.21176,3.562
1.15774,3.746
1.20123,3.771
1.12723,3.831
4.18848,15.579
1.2319,3.732
1.83787,2.122
2.4499,2.102
4.00053,2.112
1.38372,1.95
1.04217,2.684
1.04217,2.688
1.04217,2.704
1.23055,3.443
1.2389,3.64
1.18841,3.845
1.23268,3.836
1.1513,3.952
4.26044,15.553
1.26675,3.814
1.89285,2.125
2.18603,2.105
4.0101,2.087
1.41427,1.957
1.07162,2.74
1.07162,2.755
1.07162,2.7
1.26813,3.504
1.26304,3.714
1.20348,3.86
1.25036,3.842
1.1821,4.059
4.23943,16.139
1.28025,3.895
1.94008,2.142
2.38069,2.119
4.13331,2.159
1.45175,1.962
1.08059,2.734
1.08059,2.74
1.08059,2.74
1.28338,3.522
1.29295,3.812
1.23792,3.938
1.28894,3.994
1.19985,4.052
4.42393,16.407
1.32066,3.961
1.99212,2.152
2.66924,2.135
4.29562,2.101
1.48447,1.965
1.12263,2.746
1.12263,2.77
1.12263,2.782
1.31331,3.598
1.32214,3.804
1.25909,4.012
1.31015,4.032
1.22348,4.117
4.47216,17.078
1.35073,4.023
2.04817,2.157
2.73382,2.144
4.40158,2.119
1.51573,1.978
1.15052,2.784
1.15052,2.83
1.15052,2.789
1.34387,3.652
1.35197,3.859
1.28527,4.048
1.33932,4.051
1.24575,4.173
4.62692,17.175
1.37496,4.075
2.09343,2.171
2.79108,2.19
4.54837,2.122
1.55538,1.97
1.1766,2.882
1.1766,2.858
1.1766,2.817
1.39352,3.751
1.37999,3.918
1.30508,4.122
1.36146,4.136
1.27434,4.246
4.67543,17.62
1.39619,4.169
2.14906,2.196
2.86099,2.187
4.61573,2.141
1.58497,1.987
1.18766,2.87
1.18766,2.833
1.18766,2.888
1.43164,3.746
1.39453,3.983
1.34451,4.207
1.38357,4.214
1.31829,4.302
2.98342,18.097
1.43021,4.163
2.2032,2.211
2.88933,2.212
4.58682,2.176
1.61745,1.992
1.17909,2.905
1.17909,2.894
1.17909,2.857
1.44982,3.831
1.4376,4.045
1.35163,4.346
1.41764,4.43
1.31491,4.831
4.80479,18.654
1.44778,4.458
2.25623,2.381
3.01881,2.314
4.84737,2.334
1.65755,2.176
1.24092,3.076
1.24092,3.12
1.24092,3.08
1.45757,4.157
1.46857,4.277
1.38368,4.538
1.4568,4.489
1.34253,4.596
4.90957,19.094
1.48916,4.478
2.31491,2.36
3.08635,2.389
4.98459,2.332
1.69121,2.135
1.29084,3.143
1.29084,3.095
1.29084,3.119
1.51933,4.125
1.49896,4.356
1.41203,4.561
1.48761,4.559
1.36685,4.664
4.9544,19.567
1.51619,4.537
2.36325,2.395
3.0828,2.391
5.12517,2.386
1.72482,2.124
1.32448,3.152
1.32448,3.136
1.32448,3.12
1.5419,4.179
1.52957,4.46
1.44097,4.652
1.51872,4.792
1.39136,4.735
5.08911,19.966
1.54842,4.605
2.42394,2.439
3.24133,2.408
5.21199,2.393
1.75842,2.152
1.35578,3.17
1.35578,3.199
1.35578,3.267
1.56214,4.018
1.55981,4.248
1.43981,4.469
1.52515,4.475
1.4117,4.6
5.04549,20.219
1.55525,4.526
2.47766,2.178
3.29435,2.206
5.12527,2.154
1.79621,1.98
1.35342,3.012
1.35342,3.006
1.35342,3.016
1.57929,4.075
1.59054,4.297
