,id,mean,size,label,weight
146,147,2402,52676,0,100
147,148,1829,72340,0,100
148,149,1871,87558,0,100
149,150,1860,155443,0,100
150,151,1824,58478,0,100
151,152,2056,42406,0,100
152,153,2095,42406,0,100
153,154,2077,42406,0,100
154,155,2357,54700,0,100
155,156,2440,56846,1,100
156,157,2500,52635,1,100
157,158,2516,53584,1,100
158,159,2533,55985,1,100
159,160,6788,224055,1,100
160,161,2471,54716,0,100
161,162,1894,75256,0,100
162,163,1867,93441,0,100
163,164,1869,162986,0,100
164,165,1818,60826,0,100
165,166,2072,44557,0,100
166,167,2095,44557,0,100
167,168,2077,44557,0,100
168,169,2398,56237,0,100
169,170,2458,58803,1,100
170,171,2490,54933,0,100
171,172,2530,55779,1,100
172,173,2588,58559,1,100
173,174,6971,228871,1,100
174,175,2512,57527,0,100
175,176,1901,78852,0,100
176,177,1900,97732,0,100
177,178,1897,171269,0,100
178,179,1841,63689,0,100
179,180,2110,46767,0,100
180,181,2107,46767,0,100
181,182,2102,46767,0,100
182,183,2540,58936,1,100
183,184,2540,60761,1,100
184,185,2522,57070,1,100
185,186,2560,57392,1,100
186,187,2626,60327,1,100
187,188,7192,238574,1,100
188,189,2551,59532,1,100
189,190,1889,81577,0,100
190,191,1893,101525,0,100
191,192,1881,177940,0,100
192,193,1827,65644,0,100
193,194,2090,48419,0,100
194,195,2122,48419,0,100
195,196,2109,48419,0,100
196,197,2448,61604,1,100
197,198,2540,62868,1,100
198,199,2603,59212,1,100
199,200,2610,59748,0,100
200,201,2658,61971,1,100
201,202,7425,246673,1,100
202,203,2579,61789,1,100
203,204,1911,85222,0,100
204,205,1907,106936,0,100
205,206,1898,185875,0,100
206,207,1863,68177,0,100
207,208,2134,50424,0,100
208,209,2141,50424,0,100
209,210,2146,50424,0,100
210,211,2482,63942,1,100
211,212,2565,65032,1,100
212,213,2595,61377,1,100
213,214,2639,62296,1,100
214,215,2705,63723,1,100
215,216,7752,249283,1,100
216,217,2616,64118,1,100
217,218,1916,88570,0,100
218,219,1920,111191,0,100
219,220,1905,193561,0,100
220,221,1856,70737,0,100
221,222,2131,52242,0,100
222,223,2146,52242,0,100
223,224,2130,52242,0,100
224,225,2493,65284,0,100
225,226,2583,67153,1,100
226,227,2653,62889,1,100
227,228,2668,63595,1,100
228,229,2728,65538,1,100
229,230,7976,258640,1,100
230,231,2664,65797,1,100
231,232,1913,92079,0,100
232,233,1939,113325,0,100
233,234,1901,201797,0,100
234,235,1843,73236,0,100
235,236,2153,53406,0,100
236,237,2160,53406,0,100
237,238,2177,53406,0,100
238,239,2547,67558,1,100
239,240,2612,69180,1,100
240,241,2695,64831,1,100
241,242,2719,65698,1,100
242,243,2772,68097,1,100
243,244,8199,265875,1,100
244,245,2720,67454,1,100
245,246,1923,95765,0,100
